Author,author_id,author_country
Joanne C. Hillhouse,jchillhouse,antigua_&_barbuda
Joanne Skerrett,jskerrett,dominica
John Hearne,jhearne,jamaica
John J Figueroa,jjfigueroa,jamaica
John Morris,jmorris,england
John Robert Lee,jrlee,st._lucia
John W. Boddam-Whetham,jwboddamwhetham,australia
Jonathan De La Rosa,jdlrosa,united¬†states
Jorge Ronet,jronet,brazil
José Lezama Lima,jllima,cuba
Jose Martí,jmartí,cuba
Jose Prats Sariol,jpsariol,cuba
Jose Rodriguez Feo,jrfeo,cuba
Joseph Husband,jhusband,france
Joseph Zobel,jzobel,martinique
Josie Peterson,jpeterson,united_states
Joy Hinkson,jhinkson,barbados
Juan Antonio Alix,jaalix,dominican_republic
Juan Carlos Nunez,jcnunez,chile
Juan Francisco Manzano,jfmanzano,cuba
Juana Ponce de León,jpdeleon,puerto_rico
Jude Duranty,jduranty,martinique
Judith Rossell,jrossell,australia
Judy Stone,jstone,australia
Julia Alvarez,jalvarez,united_states
Julie K Lundgren,jklundgren,united_states
Julio Ortega,jortega,cuba
Junot Diaz,jdiaz,dominican_republic
Justin Lhérisson,jlherisson,haiti
Kamalo Deen,kdeen,trinidad_&_tobago
Karen Lord,klord,barbados
Karen Mah-Chamberlain,kmahchamberlain,united_states
Karl Craig,kcraig,jamaica
Kathleen Drayton,kdrayton,trinidad_&_tobago
Katia D. Ulysse,kdulysse,haiti
Katia Wolek,kwolek,france
Kei Miller,kmiller,jamaica
Kendel Hippolyte,khippolyte,st._lucia
Kettly Mars,kmars,haiti
Kevin Baldeosingh,kbaldeosingh,trinidad_&_tobago
Kevyn Alan Arthur,kaarthur,barbados
Kia Marie Khelawan,kmkhelawan,trinidad_&_tobago
Krystal A Sital,kasital,trinidad_&_tobago
Kwame Senu Neville Dawes,ksndawes,jamaica
Lakshmi Persaud,lpersaud,trinidad_&_tobago
Lauren Willig,lwillig,united_states
Lawrence Scott,lscott,trinidad_&_tobago
Lázaro Gómez Carriles,lgcarriles,united_states
Lenelle Moïse,lmoïse,haiti
Lennox Honychurch,lhonychurch,dominica
Leonardo Padura Fuentes,lpfuentes,cuba
Leone Ross,lross,england
Leslie Francois Manigat,lfmanigat,haiti
Lewis Henry,lhenry,united_states
Liesel Daisley,ldaisley,barbados
Lindsay Barrett,lbarrett,jamaica
Lino Novás Calvo,lncalvo,spain
Lisa Allen-Agostini,laagostini,trinidad_&_tobago
Llewellyn Emery,lemery,spain
Lloyd King,lking,united_states
Lorna Goodison,lgoodison,jamaica
Los Carpinteros,lcarpinteros,cuba
Louis-Philippe Dalembert,lpdalembert,haiti
Louise Bennett,lbennett,jamaica
Louise Harpon,lharpon,
Louison Cazal,lcazal,martinique
Lucía López Coll,llcoll,cuba
Luis Aguero,laguero,cuba
Luis Rafael Sánchez,lrsanchez,puerto_rico
