Author,author_id,author_country
Robert D. Hamner,rdhamner,united_states
Gwyneth Harold,gharold,jamaica
Lennox Honychurch,lhonychurch,dominica
Louise Harpon,lharpon,
John Hearne,jhearne,jamaica
Arthur Lemiere Hendriks,alhendriks,jamaica
Lewis Henry,lhenry,united_states
Fernand Hibbert,fhibbert,haiti
Joanne C. Hillhouse,jchillhouse,antigua_&_barbuda
Donald Hinds,dhinds,jamaica
Gerald Horne,ghorne,united_states
Joy Hinkson,jhinkson,barbados
Kendel Hippolyte,khippolyte,st._lucia
Merle Hodge,mhodge,trinidad_&_tobago
Nalo Hopkinson,nhopkinson,jamaica
Joseph Husband,jhusband,france
Ylce Irizarry,yIrizarry,cuba
Olive Lewin,olewin,jamaica
Naomi Jackson,njackson,united_states
C. L. R. James,clrjames,trinidad_&_tobago
Cynthia James,cjames,trinidad_&_tobago
Marlon James,mjames,jamaica
Michaellee James,mjames,united_states
Frank Janney,fjanney,united_states
Pierre Alex Jeanty,pajeanty,haiti
Barbara Jenkins,bjenkins,trinidad_&_tobago
Meiling Jin,mjin,guyana
Jean Dany Joachim,jdjoachim,haiti
Errol John,ejohn,trinidad_&_tobago
Julia Alvarez,jalvarez,united_states
Gus John,gjohn,grenada
Marie-Elena John,mejohn,antigua_&_barbuda
John Robert Lee,jrlee,st._lucia
Jean-Michel Lemaire,jmlemaire,guadeloupe
D.F. Les Pierre-Luke,dflpierreluke,trinidad_&_tobago
Arthur W. Lewis,awlewis,st._lucia
Eloísa Lezama Lima,ellima,cuba
Justin Lhérisson,jlherisson,haiti
Philip Lindsay,plindsay,united_states
James Linen,jlinen,england
Darrell B Lockhart,dblockhart,united_states
William Loehfelm,wloehfelm,united_states
Earl G Long,eglong,st._lucia
Lucía López Coll,llcoll,cuba
George Lamming,glamming,barbados
Magdalena López,mlopez,united_states
Los Carpinteros,lcarpinteros,cuba
Carlos Loveira,cloveira,cuba
Earl Lovelace,elovelace,trinidad_&_tobago
Robert McDonald,rmcdonald,united_states
Pauline Melville,pmelville,guyana
Shani Mootoo,smootoo,trinidad_&_tobago
Nancy Morejón,nmorejón,cuba
Antonio Moreno,amoreno,spain
John Morris,jmorris,england
Maika Moulite,mmoulite,united_states
Martin Munro,mmunro,trinidad_&_tobago
