authorid,Author,Country,Lifespan,Wikimedia,dloc
baperez,Brenda Alexander-Perez,Trinidad & Tobago,Unknown,,
brennie,Bukka Rennie,Trinidad & Tobago,1946-,,https://createcaribbean.org/vcl/brennie_dloc/
clrjames,C. L. R. James,Trinidad & Tobago,1901-1989,https://en.wikipedia.org/wiki/C._L._R._James,https://createcaribbean.org/vcl/clrjames_dloc/
cbrowning,Callie Browning,Barbados,1996-,,
caparsons,Captain Anthony Parsons,England,1922-1996,https://en.wikipedia.org/wiki/Anthony_Parsons,
colabra,Carilda Oliver Labra,Cuba,1922-2018,https://en.wikipedia.org/wiki/Carilda_Oliver_Labra,https://createcaribbean.org/vcl/colabra_dloc/
cloveira,Carlos Loveira,Cuba,1882-1928,https://en.wikipedia.org/wiki/Carlos_Loveira,https://createcaribbean.org/vcl/cloveira_dloc/
cmoore,Carlos Moore,Cuba,1942-,https://en.wikipedia.org/wiki/Carlos_Moore_(writer),
cphillips,Caryl Phillips,St. Kitts & Nevis,1958-,https://en.wikipedia.org/wiki/Caryl_Phillips,https://createcaribbean.org/vcl/cphillips_dloc/
cbrowne,Cecil Browne,St. Vincent & the Grenadines,1957-,https://en.wikipedia.org/wiki/Cecil_Browne_(author),
cbustamante,Cecilia Bustamante,Peru,1932-2006,,
cmohammed,Celeste Mohammed,Trinidad & Tobago,Unknown,,
cjones,Cherie Jones,Barbados,1974,,
cblelio,Chiara Bettelli Lelio,Italy,Unknown,,
cwerleigh,Christian Werleigh,Haiti,1896-1945,,https://createcaribbean.org/vcl/cwerleigh_dloc/
ccraig,Christine Craig,Jamaica,1943,https://en.wikipedia.org/wiki/Christine_Craig,
csmart,Ciannon Smart,England,Unknown,,
cvillaverde,Cirilo Villaverde,Cuba,1812-1894,https://en.wikipedia.org/wiki/Cirilo_Villaverde,https://createcaribbean.org/vcl/cvillaverde_dloc/
cadam,Claire Adam,Trinidad & Tobago,Unknown,https://en.wikipedia.org/wiki/Claire_Adam,
ctmorell,Claribel Terré Morell,Cuba,Unknown,,https://createcaribbean.org/vcl/ctmorell_dloc/
cmckay,Claude McKay,Jamaica,1890-1948,https://en.wikipedia.org/wiki/Claude_McKay,https://createcaribbean.org/vcl/cmckay_dloc/
cthompson,Claude Thompson,Jamaica,1907-Unknown,,https://www.dloc.com/AA00030592/00001/images
cmagloiresaintaude,Clément Magloire-Saint-Aude,Haiti,1912-1971,https://fr.wikipedia.org/wiki/Cl%C3%A9ment_Magloire-Saint-Aude,
cmaharaj,Clement Maharaj,Trinidad & Tobago,,,https://www.dloc.com/AA00035150/00001/pdf
cricher,Clément Richer,Canada,1914-1971,,
cdebrot,Cola Debrot,Bonaire,1902-1981,https://en.wikipedia.org/wiki/Cola_Debrot,https://createcaribbean.org/vcl/cdebrot_dloc/
cnyoung,Colville N Young,Belize,1932,https://en.wikipedia.org/wiki/Colville_Young,https://createcaribbean.org/vcl/cnyoung_dloc/
cmarshall,Constance Marshall,United States,Unknown,,
cforbes,Curdella Forbes,Jamaica,Unknown,https://en.wikipedia.org/wiki/Curdella_Forbes,https://createcaribbean.org/vcl/cforbes_dloc/
crwilliams,Cynric R. Williams,Jamaica,Unknown,,https://createcaribbean.org/vcl/crwilliams_dloc/
cjames,Cynthia James,Trinidad & Tobago,1948-,https://en.wikipedia.org/wiki/Cynthia_James,
cwilson,Cynthia Wilson,Barbados,1934-,https://en.wikipedia.org/wiki/Cynthia_Wilson,
cnoel,Cynthia Noel,Canada,Unknown,,
cdabydeen,Cyril Dabydeen,Guyana,1945,https://en.wikipedia.org/wiki/Cyril_Dabydeen,https://createcaribbean.org/vcl/cdabydeen_dloc/
cepalmer,Cyril Everard Palmer,Jamaica,1913-2013,https://en.wikipedia.org/wiki/Cyril_Palmer,https://createcaribbean.org/vcl/cepalmer_dloc/
cvbriggs,Cyril V Briggs,St. Kitts & Nevis,1888-1966,https://en.wikipedia.org/wiki/Cyril_Briggs,
cfperkins,Cyrus Francis Perkins,Jamaica,Unknown,,
dflpierreluke,D.F. Les Pierre-Luke,Trinidad & Tobago,Unknown,,
dmackinnen,Daniel MacKinnen,England,1767-1830,,https://www.dloc.com/AA00005050/00001/pdf
dpicouly,Daniel Picouly,Martinique,1948,https://en.wikipedia.org/wiki/Daniel_Picouly,https://createcaribbean.org/vcl/dpicouly_dloc/
dlgeorges,Danielle Legros Georges,Haiti,Unknown,https://en.wikipedia.org/wiki/Danielle_Legros_Georges,https://www.dloc.com/AA00000079/00002/images
dlaferrière,Dany Laferrière,Haiti,1953,https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re,https://createcaribbean.org/vcl/dlaferri%c3%a8re_dloc/
dblockhart,Darrell B Lockhart,United States,1960,https://en.wikipedia.org/wiki/Darrell_Lockhart,
dastraker,David Augustus Straker,Barbados,1842-1908,https://en.wikipedia.org/wiki/D._Augustus_Straker,https://www.dloc.com/UF00098964/04681/pdf
ddabydeen,David Dabydeen,Guyana,1955,https://en.wikipedia.org/wiki/David_Dabydeen,https://createcaribbean.org/vcl/ddabydeen_dloc/
dfranklyn,David Franklyn,Brazil,Unknown,,
hgdlisser,De Lisser H. G.,Jamaica,1878-1944,https://en.wikipedia.org/wiki/H._G._de_Lisser,https://createcaribbean.org/vcl/hgdlisser_dloc/
drbaldwin,Dean R Baldwin,United States,1942,,
dharris,Denise Harris,Guyana,1950,,
dscott,Dennis Scott,Jamaica,1939-1991,https://en.wikipedia.org/wiki/Dennis_Scott_(writer),https://createcaribbean.org/vcl/dscott_dloc/
dwalcott,Derek Walcott,St. Lucia,1930-2017,https://en.wikipedia.org/wiki/Derek_Walcott,https://createcaribbean.org/vcl/dwalcott_dloc/
dsandy,Derry Sandy,Trinidad & Tobago,Unknown,,
dhall,Desmond Hall,Jamaica,Unknown,,
dvnicholson,Desmond V Nicholson,England,Unknown,,https://createcaribbean.org/vcl/dvnicholson_dloc/
djules,Didacus Jules,St. Lucia,1956,https://en.wikipedia.org/wiki/Didacus_Jules,https://createcaribbean.org/vcl/djules_dloc/
deleger,Dimitry Elias Léger,Haiti,1971,https://en.wikipedia.org/wiki/Dimitry_Elias_L%C3%A9ger,
dbrand,Dionne Brand,Trinidad & Tobago,1953,https://en.wikipedia.org/wiki/Dionne_Brand,https://createcaribbean.org/vcl/dbrand_dloc/
dhinds,Donald Hinds,Jamaica,1934,https://en.wikipedia.org/wiki/Donald_Hinds,https://www.dloc.com/AA00030170/00001/images
devery,Donna Every,Barbados,,,
eglong,Earl G Long,St. Lucia,1945,,
elovelace,Earl Lovelace,Trinidad & Tobago,1935,https://en.wikipedia.org/wiki/Earl_Lovelace,https://createcaribbean.org/vcl/elovelace_dloc/
evega,Eddie Vega,Cuba,Unknown,,
ewhyte,Eddie Whyte,British Virgin Islands,Unknown,,
ephillpotts,Eden Phillpotts,India,1862-1960,https://en.wikipedia.org/wiki/Eden_Phillpotts,https://www.dloc.com/AA00079434/00475/images
eamittelholzer,Edgar Austin Mittelholzer,Guyana,2909-1965,https://en.wikipedia.org/wiki/Edgar_Mittelholzer,https://createcaribbean.org/vcl/eamittelholzer_dloc/
etwilliams,Edison T Williams,Barbados,Unknown,,
eclarke,Edith Clarke,Jamaica,1896-1979,https://en.wikipedia.org/wiki/Edith_Clarke_(anthropologist),https://createcaribbean.org/vcl/eclarke_dloc/
elpaironne,Edmond Lapompe-Paironne,Martinique,Unknown,,
emokwe,Edouard Mokwe,United States,Unknown,,
esaintamand,Edris Saint-Amand,Haiti,1918-2004,https://en.wikipedia.org/wiki/Edris_Saint-Amand,https://createcaribbean.org/vcl/esaintamand_dloc/
edelllano,Eduardo Del Llano,Cuba,1962,https://es.wikipedia.org/wiki/Eduardo_del_Llano,
ebaugh,Edward Baugh,Jamaica,1936,https://en.wikipedia.org/wiki/Edward_Baugh,https://createcaribbean.org/vcl/ebaugh_dloc/
ekbrathwaite,Edward Kamau Brathwaite,Barbados,1930-2020,https://en.wikipedia.org/wiki/Kamau_Brathwaite,https://createcaribbean.org/vcl/kbrathwaite_dloc/
edanticat,Edwidge Danticat,Haiti,1969,https://en.wikipedia.org/wiki/Edwidge_Danticat,https://createcaribbean.org/vcl/edanticat_dloc/
epspringer,Eintou Pearl Springer,Trinidad & Tobago,1944,https://en.wikipedia.org/wiki/Eintou_Pearl_Springer,https://createcaribbean.org/vcl/epspringer_dloc/
ediego,Eliseo Diego,Cuba,1920-1994,https://en.wikipedia.org/wiki/Eliseo_Diego,https://www.dloc.com/AA00048549/00045/images
eacevedo,Elizabeth Acevedo,United States,1988,https://en.wikipedia.org/wiki/Elizabeth_Acevedo,
enunez,Elizabeth Nunez,Trinidad & Tobago,1944,https://en.wikipedia.org/wiki/Elizabeth_Nunez,https://www.dloc.com/AA00000079/00006/images
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,Trinidad & Tobago,1964,https://en.wikipedia.org/wiki/Elizabeth_Walcott-Hackshaw,https://createcaribbean.org/vcl/ewalcotthackshaw_dloc/
enapier,Elma Napier,Dominica,1892-1973,https://en.wikipedia.org/wiki/Elma_Napier,https://www.dloc.com/AA00011396/00001/pdf
ellima,Eloísa Lezama Lima,Cuba,1966,https://en.wikipedia.org/wiki/Jos%C3%A9_Lezama_Lima,
ebobadilla,Emilio Bobadilla,Cuba,Unknown,https://en.wikipedia.org/wiki/Emilio_Bobadilla,https://createcaribbean.org/vcl/ebobadilla_dloc/
eacolin,Emily A Colin,United States,Unknown,,
eewilliams,Eric Eustace Williams,Trinidad & Tobago,1911-1981,https://en.wikipedia.org/wiki/Eric_Williams,
ebodber,Erna Brodber,Jamaica,Unknown,,
ejohn,Errol John,Trinidad & Tobago,1924-1988,https://en.wikipedia.org/wiki/Errol_John,https://www.dloc.com/AA00010879/00001/images
eborde,Eulah Borde,Trinidad & Tobago,Unknown,,
ejones,Evan Jones,Jamaica,1927-2012,https://en.wikipedia.org/wiki/Evan_Jones_(writer),
etrouillot,Évelyne Trouillot,Haiti,1954,https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot,https://createcaribbean.org/vcl/etrouillot_dloc/
evieta,Ezequiel Vieta,Cuba,1922-1995,https://es.wikipedia.org/wiki/Ezequiel_Vieta,
ffiallo,Fabio Fiallo,Dominican Republic,1866-1942,https://en.wikipedia.org/wiki/Fabio_Fiallo,https://createcaribbean.org/vcl/ffiallo_dloc/
fmrodriguez,Fabio Murrieta Rodríguez,Cuba,Unknown,,
fhibbert,Fernand Hibbert,Haiti,1873-1928,https://en.wikipedia.org/wiki/Fernand_Hibbert,https://createcaribbean.org/vcl/fhibbert_dloc/
fjborbe,Fernando José Barcena Orbe,St. Martin,1922-2018,,
fmomplaisir,Francesca Momplaisir,Haiti,Unknown,,
flatour,Francie Latour,United States,Unknown,,
fcarco,Francis Carco,New Caledonia,1886-1958,https://en.wikipedia.org/wiki/Francis_Carco,
facollymore,Frank A. Collymore,Barbados,1893-1980,https://en.wikipedia.org/wiki/Frank_Collymore,https://createcaribbean.org/vcl/facollymore_dloc/
fjanney,Frank Janney,United States,Unknown,,
franketienne,Frankétienne,Haiti,1936,https://en.wikipedia.org/wiki/Frank%C3%A9tienne,https://www.dloc.com/AA00038519/00001/videos
fwainwright,Frantz Wainwright,Haiti,Unknown,,https://createcaribbean.org/vcl/fwainwright_dloc/
fdaguiar,Fred D'Aguiar,England,1960,https://en.wikipedia.org/wiki/Fred_D%27Aguiar,https://createcaribbean.org/vcl/fdaguiar_dloc/
fmarcelin,Frédéric Marcelin,Haiti,1848-1917,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Marcelin,https://createcaribbean.org/vcl/fmarcelin_dloc/
fwols,Frits Wols,Suriname,1938,https://nl.wikipedia.org/wiki/Frits_Wols,
gdayton,Geoffrey Drayton,Barbados,Unknown,,
gphilip,Geoffrey Philip,Jamaica,Unknown,,
gcampbell,George Campbell,Jamaica,1916-2002,,https://www.dloc.com/CA01300005/00001/images
glamming,George Lamming,Barbados,1927-2022,https://en.wikipedia.org/wiki/George_Lamming,https://createcaribbean.org/vcl/glamming_dloc/
gmauvois,Georges Mauvois,Martinique,1922-2018,https://fr.wikipedia.org/wiki/Georges_Mauvois,https://www.dloc.com/UF00088914/00204/images
gsylvain,Georges Sylvain,Haiti,Unknown,https://fr.wikipedia.org/wiki/Georges_Sylvain,https://createcaribbean.org/vcl/gsylvain_dloc/
gbulin,Gérard Bulin,France,Unknown,,
gpicart,Gina Picart,Cuba,1956,https://es.wikipedia.org/wiki/Gina_Picart,https://createcaribbean.org/vcl/gpicart_dloc/
gpineau,Gisèle Pineau,Guadeloupe,1956,https://en.wikipedia.org/wiki/Gis%C3%A8le_Pineau,https://createcaribbean.org/vcl/gpineau_dloc/
gguevara,Glynis Guevara,Trinidad & Tobago,Unknown,,
grohlehr,Gordon Rohlehr,Guyana,1942-2023,https://en.wikipedia.org/wiki/Gordon_Rohlehr,https://createcaribbean.org/vcl/grohlehr_dloc/
gnichols,Grace Nichols,Guyana,1950,https://en.wikipedia.org/wiki/Grace_Nichols,https://createcaribbean.org/vcl/gnichols_dloc/
gthompson,Gregory Thompson,Trinidad & Tobago,1958,,
grosales,Guillermo Rosales,Cuba,1946-1993,https://en.wikipedia.org/wiki/Guillermo_Rosales,
gjohn,Gus John,Grenada,1945,https://en.wikipedia.org/wiki/Gus_John,
gharold,Gwyneth Harold,Jamaica,Unknown,,
hkhemraj,Harischandra Khemraj,Guyana,1944,https://en.wikipedia.org/wiki/Harischandra_Khemraj,https://createcaribbean.org/vcl/hkhemraj_dloc/
hramoutar,Harold Ramoutar,chile,Unknown,,
hsladoo,Harold Sonny Ladoo,Trinidad & Tobago,1954,,https://createcaribbean.org/vcl/hsladoo_dloc/
hvaldman,Hayim Valdman,Ukraine,Unknown,,
hsmcdonald,Hazel Simmons-McDonald,St. Lucia,1947,https://en.wikipedia.org/wiki/Hazel_Simmons-McDonald,https://createcaribbean.org/vcl/hsmcdonald_dloc/
hklonaris,Helen Klonaris,The Bahamas,Unknown,,https://createcaribbean.org/vcl/hklonaris_dloc/
hhbell,Henry Hesketh Bell,England,1864-1952,https://en.wikipedia.org/wiki/Henry_Hesketh_Bell,
hjreifer,Herbert J. Reifer,Barbados,Unknown,,
hpease,Howard Pease,United States,1894-1974,https://en.wikipedia.org/wiki/Howard_Pease,
hnthomas,Hubert Nigel Thomas,St. Vincent & the Grenadines,1947,,
hpapailler,Hubert Papailler,Haiti,1916-2007,,https://createcaribbean.org/vcl/hpapailler_dloc/
hyared,Hyam Yared,lebanon,1975,https://en.wikipedia.org/wiki/Hyam_Yared,
izoboi,Ibi Zoboi,Haiti,1972,https://en.wikipedia.org/wiki/Ibi_Zoboi,
ifaubert,Ida Faubert,Haiti,1882-1969,https://en.wikipedia.org/wiki/Ida_Faubert,https://www.dloc.com/UF00000081/05733/images
ifulani,Ifeona Fulani,Jamaica,Unknown,,https://createcaribbean.org/vcl/ifulani_dloc/
ipersaud,Ingrid Persaud,Trinidad & Tobago,Unknown,https://en.wikipedia.org/wiki/Ingrid_Persaud,
ilferguson,Ira Lunan Ferguson,Jamaica,1904-1992,https://en.wikipedia.org/wiki/Ira_Lunan_Ferguson,
iachuecos,Isabel Abellán Chuecos,Spain,Unknown,,
ikhan,Ismith Khan,Trinidad & Tobago,1925-2002,https://en.wikipedia.org/wiki/Ismith_Khan,
ikelly,Ivory Kelly,Belize,Unknown,,
jabrathwaite,J. Ashton Brathwaite,Barbados,Unknown,https://en.wikipedia.org/wiki/Odimumba_Kwamdela,
jross,Jacob Ross,Grenada,1956,https://en.wikipedia.org/wiki/Jacob_Ross,
jroumain,Jacques Roumain,Haiti,1907-1944,https://en.wikipedia.org/wiki/Jacques_Roumain,https://createcaribbean.org/vcl/jroumain_dloc/
jsalexis,Jacques Stephen Alexis,Haiti,1922-1961,https://en.wikipedia.org/wiki/Jacques_Stephen_Alexis,https://createcaribbean.org/vcl/jsalexis_dloc/
jkincaid,Jamaica Kincaid,Antigua & Barbuda,1949,https://en.wikipedia.org/wiki/Jamaica_Kincaid,https://createcaribbean.org/vcl/jkincaid_dloc/
jlinen,James Linen,England,1808-1873,,
jamsie,Jamsie,Ireland,Unknown,,https://createcaribbean.org/vcl/jamsie_dloc/
jjdominique,Jan J Dominique,Haiti,1953,https://fr.wikipedia.org/wiki/Jan_J._Dominique,https://createcaribbean.org/vcl/jjdominique_dloc/
jshinebourne,Janice Shinebourne,Guyana,1947,https://en.wikipedia.org/wiki/Jan_Shinebourne,https://createcaribbean.org/vcl/jshinebourne_dloc/
jbernabé,Jean Bernabé,Martinique,1942-2017,https://en.wikipedia.org/wiki/Jean_Bernab%C3%A9,https://createcaribbean.org/vcl/jbernab%c3%a9_dloc/
jbreeze,Jean Breeze,Jamaica,1956-2021,https://en.wikipedia.org/wiki/Jean_%22Binta%22_Breeze,https://createcaribbean.org/vcl/jbreeze_dloc/
jdcosta,Jean D'Costa,Jamaica,1937,https://en.wikipedia.org/wiki/Jean_D%27Costa,https://createcaribbean.org/vcl/jdcosta_dloc/
jdjoachim,Jean Dany Joachim,Haiti,Unknown,,
jgoulbourne,Jean Goulbourne,Jamaica,Unknown,,https://createcaribbean.org/vcl/jgoulbourne_dloc/
jrhys,Jean Rhys,Dominica,1890-1979,https://en.wikipedia.org/wiki/Jean_Rhys,https://createcaribbean.org/vcl/jrhys_dloc/
jjvilaire,Jean-Joseph Vilaire,Haiti,1881-1967,,https://www.dloc.com/AA00000461/00018/images
jmlemaire,Jean-Michel Lemaire,Guadeloupe,1960,,
jwheatley,Jennie Wheatley,British Virgin Islands,1939,https://en.wikipedia.org/wiki/Jennie_Wheatley,https://www.dloc.com/AA00032523/00002/images
jbent,Jennifer Bent,Jamaica,1973,https://en.wikipedia.org/wiki/Joanne_C._Hillhouse,https://createcaribbean.org/vcl/jchillhouse_dloc/
jksoverall,Jivan Kaur Soverall,United States,Unknown,,
jchillhouse,Joanne C. Hillhouse,Antigua & Barbuda,Unknown,,
jskerrett,Joanne Skerrett,Dominica,Unknown,,
jhearne,John Hearne,Jamaica,1926-1994,https://en.wikipedia.org/wiki/John_Hearne_(writer),https://createcaribbean.org/vcl/jhearne_dloc/
jjfigueroa,John J Figueroa,Jamaica,1920-1999,https://en.wikipedia.org/wiki/John_Figueroa,
jmorris,John Morris,England,Unknown,,
jrlee,John Robert Lee,St. Lucia,1948,,
jwboddamwhetham,John W. Boddam-Whetham,Australia,Unknown,,https://createcaribbean.org/vcl/jwboddamwhetham_dloc/
jdlrosa,Jonathan De La Rosa,United States,Unknown,,
jronet,Jorge Ronet,brazil,Unknown,,
jllima,José Lezama Lima,Cuba,1910-1976,https://en.wikipedia.org/wiki/Jos%C3%A9_Lezama_Lima,
jmartí,Jose Martí,Cuba,Unknown,,
jpsariol,Jose Prats Sariol,Cuba,1946,https://es.wikipedia.org/wiki/Jos%C3%A9_Prats_Sariol,
jrfeo,Jose Rodriguez Feo,Cuba,1920-1993,,
jhusband,Joseph Husband,France,1864-1952,,https://createcaribbean.org/vcl/jhusband_dloc/
jzobel,Joseph Zobel,Martinique,1915-2006,https://en.wikipedia.org/wiki/Joseph_Zobel,
jpeterson,Josie Peterson,United States,Unknown,,
jhinkson,Joy Hinkson,Barbados,1949,,https://www.dloc.com/AA00013173/00001/pdf
jaalix,Juan Antonio Alix,Dominican Republic,1833-1918,,https://createcaribbean.org/vcl/jaalix_dloc/
jcnunez,Juan Carlos Nunez,Chile,1968,,
jfmanzano,Juan Francisco Manzano,Cuba,1797-1854,https://en.wikipedia.org/wiki/Juan_Francisco_Manzano,
jpdeleon,Juana Ponce de León,Puerto Rico,Unknown,,
jduranty,Jude Duranty,Martinique,1951,,https://www.dloc.com/UF00083246/00002/images
jrossell,Judith Rossell,Australia,1953,,
jstone,Judy Stone,Australia,1942,https://en.wikipedia.org/wiki/Judy_Stone,
jalvarez,Julia Alvarez,United States,1950,https://en.wikipedia.org/wiki/Julia_Alvarez,https://www.dloc.com/CA00800001/00001/images
jklundgren,Julie K Lundgren,United States,1961,,
jortega,Julio Ortega,Cuba,1942,https://es.wikipedia.org/wiki/Julio_Ortega_(escritor),https://www.dloc.com/UF00081352/00001/images
jdiaz,Junot Diaz,Dominican Republic,1968,https://en.wikipedia.org/wiki/Junot_D%C3%ADaz,https://createcaribbean.org/vcl/jdiaz_dloc/
jlherisson,Justin Lhérisson,Haiti,1873-1907,https://fr.wikipedia.org/wiki/Justin_Lh%C3%A9risson,https://www.dloc.com/AA00073342/00001/downloads
kdeen,Kamalo Deen,Trinidad & Tobago,1944,,
klord,Karen Lord,Barbados,1968,https://en.wikipedia.org/wiki/Karen_Lord,
kmahchamberlain,Karen Mah-Chamberlain,United States,Unknown,,
kcraig,Karl Craig,Jamaica,1937,,https://createcaribbean.org/vcl/kcraig_dloc/
kdrayton,Kathleen Drayton,Trinidad & Tobago,1930-2009,,
kdulysse,Katia D. Ulysse,Haiti,1975,,https://www.dloc.com/AA00000079/00006/images
kwolek,Katia Wolek,France,1946,,
kmiller,Kei Miller,Jamaica,1978,https://en.wikipedia.org/wiki/Kei_Miller,https://createcaribbean.org/vcl/kmiller_dloc/
khippolyte,Kendel Hippolyte,St. Lucia,1952,https://en.wikipedia.org/wiki/Kendel_Hippolyte,https://createcaribbean.org/vcl/khippolyte_dloc/
kmars,Kettly Mars,Haiti,1958,https://en.wikipedia.org/wiki/Kettly_Mars,https://createcaribbean.org/vcl/kmars_dloc/
kbaldeosingh,Kevin Baldeosingh,Trinidad & Tobago,1963,https://en.wikipedia.org/wiki/Kevin_Baldeosingh,https://createcaribbean.org/vcl/kbaldeosingh_dloc/
kaarthur,Kevyn Alan Arthur,Barbados,1942,,https://www.dloc.com/UF00096005/00024/images
kmkhelawan,Kia Marie Khelawan,Trinidad & Tobago,Unknown,,
kasital,Krystal A Sital,Trinidad & Tobago,Unknown,,
ksndawes,Kwame Senu Neville Dawes,Jamaica,1962,https://en.wikipedia.org/wiki/Kwame_Dawes,https://www.dloc.com/AA00030335/00001/images
lpersaud,Lakshmi Persaud,Trinidad & Tobago,1939,https://en.wikipedia.org/wiki/Lakshmi_Persaud,https://www.dloc.com/UF00094180/00055/pdf
lwillig,Lauren Willig,United States,Unknown,https://en.wikipedia.org/wiki/Lauren_Willig,
lscott,Lawrence Scott,Trinidad & Tobago,1943,https://en.wikipedia.org/wiki/Lawrence_Scott,
lgcarriles,Lázaro Gómez Carriles,United States,Unknown,,
lmoïse,Lenelle Moïse,Haiti,1980,https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse,
lhonychurch,Lennox Honychurch,Dominica,1952,https://en.wikipedia.org/wiki/Lennox_Honychurch,https://createcaribbean.org/vcl/lhonychurch_dloc/
