Author,author_id,author_country
Amelia Bleeker,ableeker,united_states
Barbara Applin,bapplin,united_states
Barbara Lalla,blalla,jamaica
Bernard Magnier,bmagnier,france
Blas Matamoro,bmatamoro,argentina
Brenda Alexander-Perez,baperez,trinidad_&_tobago
Carlos Moore,cmoore,cuba
Catherine Bain,cbain,scotland
Cecilia Bustamante,cbustamante,peru
Celeste Mohammed,cmohammed,trinidad_&_tobago
Cesare Luporini,cluporini,italy
Dean R. Baldwin,drbaldwin,united_states
Deborah King,dking,united_states
Deborah Mills,dmills,united_states
Derek Walcott,dwalcott,st._lucia
Donald W. Bleznick,dwbleznick,united_states
Eden Phillpotts,ephillpotts,india
Elizabeth G. Jordan,egjordan,united_states
Emily A Colin,eacolin,united_states
Fabienne Kanor,fkanor,france
Gabriel Garcia Marquez,ggmarquez,colombia
George E. Lawrence,gelawrence,united_states
Georges Mauvois,gmauvois,martinique
Henry Hesketh Bell,hhbell,united_kingdom
Hans Baumann,hbaumann,germany
Hiram P. bailey,hpbailey,united_states
Homer Bloomfield,hbloomfield,the_bahamas
Ivory Kelly,ikelly,belize
Janelle S. Martin, jsmartin,united_states
Jivan Kaur Soverall,jksoverall,united_states
John M. Kirk,jmkirk,united_states
Leonardo Padura Fuentes,lpfuentes,cuba
Jonathan De La Rosa,jdlrosa,united_states
Jonathan M. Katz,jmkatz,united_states
Jose De La Riva Aguero,jdlraguero,peru
Josie Peterson,jpeterson,united_states
Juan Antonio Alix,jaalix,dominican_republic
Juan Marinello,jmarinello,cuba
Julie K Lundgren,jklundgren,united_states
Junot Diaz,jdiaz,dominican_republic
Karen Mah-Chamberlain,kmchamberlain,united_states
Kettly Mars,kmars,haiti
Kevin Baldeosingh,kbaldeosingh,trinidad_&_tobago
Kevyn Alan Arthur,kaarthur,barbados
Kia Marie Khelawan,kmkhelawan,trinidad_&_tobago
Leone Ross,lross,england
Lindsay Barrett,lbarrett,jamaica
Louis-Philippe Dalembert,lpdalembert,haiti
Luis Aguero,laguero,cuba
Martin Amis,mamis,england
Lyndon J. Dominique,ljdominique,united_states
Marie-Josephine Augustin,mjaugustin,france
Michael Anthony Klug,maklug,united_states
Nicholas Laughlin,nlaughlin,trinidad_&_tobago
Nailah Folami Imoja,nfimoja,trinidad_&_tobago
Rachel Kirby,rkirby,united_states
Nicholas Serota,nserota,united_states
Robert T. Jeschonek,rtjeschonek,united_states
Roopnandan Singh,rsingh,guyana
Russell Banks,rbanks,united_states
Sara Collins,scollins,jamaica
Sarah Lark,slark,germany
Sebastian Clarke,sclarke,trinidad_&_tobago
Severo Sarduy,ssarduy,cuba
Sharon Millar,smillar,trinidad_&_tobago
Sherwyn Besson,sbesson,trinidad_&_tobago
Soleida Rios,srios,cuba
Stephane Mallarme,smallarme,france
Tammi Brown-Bannister,tbrownbannister,antigua_&_barbuda
Theodora Elizabeth Lynch,telynch,england
Thomas Kinkade,tkinkade,united_states
Timothy Callender,tcallender,barbados
Tip Marugg,tmarugg,curacao
Umberto Valverde,uvalverde,colombia
Vahni Capildeo,vcapildeo,trinidad_&_tobago
Vanessa Spence,vspence,jamaica
Victor Stafford Reid,vsreid,jamaica
Vigil Diaz,vdiaz,dominican_republic
Wayne Gerard Trotman,wgtrotman, trinidad_&_tobago
Wil Mara,wmara,united_states
William H. Beezley,whbeezley,united_states
William P. Barron,wpbarron,england/united_states
Wycliffe Bennett,wbennett,jamaica
