authorid,Author,Country,mapId,birthYear,deathYear,Lifespan,Wikimedia,dloc,lon,lat
dlgeorges,Danielle Legros Georges,Haiti,5,0,0,Unknown,https://en.wikipedia.org/wiki/Danielle_Legros_Georges,https://www.dloc.com/AA00000079/00002/images,-72.3385625,18.40248133
dlaferrière,Dany Laferrière,Haiti,5,1953,0,1953-,https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re,https://createcaribbean.org/vcl/dlaferri%c3%a8re_dloc/,-72.3385625,18.40248133
dblockhart,Darrell B Lockhart,United States,1,1960,0,1960-,https://en.wikipedia.org/wiki/Darrell_Lockhart,,-99.41461919,39.39870316
dastraker,David Augustus Straker,Barbados,12,1842,1908,1842-1908,https://en.wikipedia.org/wiki/D._Augustus_Straker,https://www.dloc.com/UF00098964/04681/pdf,-59.55642448,13.17222198
ddabydeen,David Dabydeen,Guyana,62,1955,0,1955-,https://en.wikipedia.org/wiki/David_Dabydeen,https://createcaribbean.org/vcl/ddabydeen_dloc/,-58.97538658,4.79642268
dfranklyn,David Franklyn,Brazil,35,0,0,Unknown,,,-53.07346689,-10.76994643
hgdlisser,De Lisser H. G.,Jamaica,4,1878,1944,1878-1944,https://en.wikipedia.org/wiki/H._G._de_Lisser,https://createcaribbean.org/vcl/hgdlisser_dloc/,-77.31110641,18.15769529
drbaldwin,Dean R Baldwin,United States,1,1942,0,1942-,,,-99.41461919,39.39870316
dharris,Denise Harris,Guyana,62,1950,0,1950-,,,-58.97538658,4.79642268
dscott,Dennis Scott,Jamaica,4,1939,1991,1939-1991,https://en.wikipedia.org/wiki/Dennis_Scott_(writer),https://createcaribbean.org/vcl/dscott_dloc/,-77.31110641,18.15769529
dwalcott,Derek Walcott,St. Lucia,16,1930,2017,1930-2017,https://en.wikipedia.org/wiki/Derek_Walcott,https://createcaribbean.org/vcl/dwalcott_dloc/,-60.96730046,13.89863973
dsandy,Derry Sandy,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
dhall,Desmond Hall,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
dvnicholson,Desmond V Nicholson,England,11,0,0,Unknown,,https://createcaribbean.org/vcl/dvnicholson_dloc/,-1.458627594,52.59273448
djules,Didacus Jules,St. Lucia,16,1956,0,1956-,https://en.wikipedia.org/wiki/Didacus_Jules,https://createcaribbean.org/vcl/djules_dloc/,-60.96730046,13.89863973
deleger,Dimitry Elias Léger,Haiti,5,1971,0,1971-,https://en.wikipedia.org/wiki/Dimitry_Elias_L%C3%A9ger,,-72.3385625,18.40248133
dbrand,Dionne Brand,Trinidad & Tobago,3,1953,0,1953-,https://en.wikipedia.org/wiki/Dionne_Brand,https://createcaribbean.org/vcl/dbrand_dloc/,-61.26048814,10.47267428
dhinds,Donald Hinds,Jamaica,4,1934,0,1934-,https://en.wikipedia.org/wiki/Donald_Hinds,https://www.dloc.com/AA00030170/00001/images,-77.31110641,18.15769529
devery,Donna Every,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
eglong,Earl G Long,St. Lucia,16,1945,0,1945-,,,-60.96730046,13.89863973
elovelace,Earl Lovelace,Trinidad & Tobago,3,1935,0,1935-,https://en.wikipedia.org/wiki/Earl_Lovelace,https://createcaribbean.org/vcl/elovelace_dloc/,-61.26048814,10.47267428
evega,Eddie Vega,Cuba,14,0,0,Unknown,,,-79.5,22
ewhyte,Eddie Whyte,British Virgin Islands,63,0,0,Unknown,,,-64.5942075,18.43030834
ephillpotts,Eden Phillpotts,India,40,1862,1960,1862-1960,https://en.wikipedia.org/wiki/Eden_Phillpotts,https://www.dloc.com/AA00079434/00475/images,79.44332655,23.37937974
