authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
jalvarez,Julia Alvarez,La Union Europea,,,2004,Spanish,https://ufdcimages.uflib.ufl.edu/CA/00/80/00/01/00001/00001.jpg,https://www.dloc.com/CA00800001/00001/images,image,dLOC,,
jortega,Julio Ortega,El IV centenario de la Universidad de Santo Domingo (1538-1938),,,1946,Spanish,https://ufdcimages.uflib.ufl.edu/UF/00/08/13/52/00001/00001.jpg,https://www.dloc.com/UF00081352/00001/images,image,dLOC,,
jdiaz,Junot Diaz,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1984,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00033/00001.jpg,https://www.dloc.com/UF00096005/00033/images,image,dLOC,,
jdiaz,Junot Diaz,La Union Europea,,,2004,,https://ufdcimages.uflib.ufl.edu/CA/00/80/00/01/00001/00001.jpg,https://www.dloc.com/CA00800001/00001/images,image,dLOC,,
jdiaz,Junot Diaz,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2008,Spanish,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00033/00001.jpg,https://www.dloc.com/UF00096005/00033/images,image,dLOC,,
jdiaz,Junot Diaz,La Union Europea,,,2004,Spanish,https://ufdcimages.uflib.ufl.edu/CA/00/80/00/01/00001/00001.jpg,https://www.dloc.com/CA00800001/00001/images,image,dLOC,,
jlherisson,Justin Lhérisson,Entre Nous: Textes sur l'enfance,,,1989,French,https://ufdcimages.uflib.ufl.edu/AA/00/07/33/42/00001/RL10059-CS-1229_02.mp3,https://www.dloc.com/AA00073342/00001/audios,audio,dLOC,,
kcraig,Karl Craig,Karl 'Jerry' Carl Original Paintings & Giclee Prints,,,,,https://ufdcimages.uflib.ufl.edu/AA/00/07/95/02/00008/ASM02520004880001001.jpg,https://www.dloc.com/AA00079502/00008/images,image,dLOC,,
kcraig,Karl Craig,Karl 'Jerry' Carl Original Paintings,,,,,https://ufdcimages.uflib.ufl.edu/AA/00/07/95/02/00009/ASM02520004890001001.jpg,https://www.dloc.com/AA00079502/00009/images,image,dLOC,,
kcraig,Karl Craig,Karl 'Jerry' Carl Biography With Profile Photo,,,,,https://ufdcimages.uflib.ufl.edu/AA/00/07/95/02/00003/ASM02520004830001001.jpg,https://www.dloc.com/AA00079502/00003/images,image,dLOC,,
kcraig,Karl Craig,Karl 'Jerry' Carl Biography,,,,,https://ufdcimages.uflib.ufl.edu/AA/00/07/95/02/00001/ASM02520004750001001.jpg,https://www.dloc.com/AA00079502/00001/images,image,dLOC,,
kcraig,Karl Craig,Breaklight : an anthology of Caribbean poetry,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/06/96/00001/PR9326-S31971_dj.jpg,https://www.dloc.com/AA00030696/00001/images,image,dLOC,,
kdulysse,Katia D. Ulysse,MaComère,,,2002,English,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00006/00006_00000.jpg,https://www.dloc.com/AA00000079/00006/images,image,dLOC,,
kmiller,Kei Miller,Journal of eastern Caribbean studies,April,,2016,,https://www.dloc.com/AA00088162/00012/pdf,https://www.dloc.com/AA00088162/00012/pdf,pdf,dLOC,,
kmiller,Kei Miller,Jamaica journal,,,2015,,https://ufdcimages.uflib.ufl.edu/UF/00/09/00/30/00091/00001.jpg,https://www.dloc.com/UF00090030/00091/images,image,dLOC,,
kmiller,Kei Miller,SASOD at CARIFESTA 10,August,24,2008,,https://ufdcimages.uflib.ufl.edu/AA/00/08/99/68/00001/SASOD_Caribbean_Sizzle_CARIFESTA%20X_Party.jpg,https://www.dloc.com/AA00089968/00001/images,image,dLOC,,
khippolyte,Kendel Hippolyte,Caribbean Quarterly,March,,1976,,https://www.dloc.com/UF00099208/00002/images,https://www.dloc.com/UF00099208/00002/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
khippolyte,Kendel Hippolyte,Caribbean beat,May,,2016,,https://www.dloc.com/AA00090268/00029/pdf,https://www.dloc.com/AA00090268/00029/pdf,pdf,dLOC,,
khippolyte,Kendel Hippolyte,Caribbean beat,May,,2019,,https://www.dloc.com/AA00090268/00047/pdf,https://www.dloc.com/AA00090268/00047/pdf,pdf,dLOC,,
khippolyte,Kendel Hippolyte,Kyk-over-Al,June,,1988,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00026/00001.jpg,https://www.dloc.com/UF00080046/00026/images,image,dLOC,,
khippolyte,Kendel Hippolyte,Launch of book on St Lucian literature,September,29,2006,,https://ufdcimages.uflib.ufl.edu/CA/00/10/02/93/00001/00001.jpg,https://www.dloc.com/CA00100293/00001/images,image,dLOC,,
kmars,Kettly Mars,"Rencontre avec Kettly Mars, poete et romanciere haitienne",March,9,2010,,https://manioc.univ-antilles.fr/omeka-s/files/original/1048/KettlyMars.mp4,https://www.dloc.com/MANIOC1166/00001/downloads,video,dLOC,,
kmars,Kettly Mars,"Entre Nous : « Soleils Contraires » , Kettly P. Mars",June,26,1997,,https://ufdcimages.uflib.ufl.edu/AA/00/07/34/81/00001/RL10059-CS-1299_01.mp3,https://www.dloc.com/AA00073481/00001/audios,audio,dLOC,,
kmars,Kettly Mars,Haïti en marche,September,25,2002,,https://ufdcimages.uflib.ufl.edu/UF/00/09/88/09/00130/UF00098809_00130_00001.jpg,https://www.dloc.com/UF00098809/00130/images,image,dLOC,,
kbaldeosingh,Kevin Baldeosingh,The Caribbean writer,,,1997,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00011/AA00032523_00011_00001.jpg,https://www.dloc.com/AA00032523/00011/images,image,dLOC,,
kbaldeosingh,Kevin Baldeosingh,Caribbean beat,September,,2011,,https://www.dloc.com/AA00090268/00001/pdf,https://www.dloc.com/AA00090268/00001/pdf,pdf,dLOC,,
kaarthur,Kevyn Alan Arthur,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1984,English,https://www.dloc.com/UF00096005/00024/images,https://www.dloc.com/UF00096005/00024/images,image,dLOC,,
ksndawes,Kwame Senu Neville Dawes,Bob Marley : lyrical genius,,,2002,English,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/35/00001/ML420-M3313D392002_dj.jpg,https://www.dloc.com/AA00030335/00001/images,image,dLOC,,
lapersaud,Lakshmi Persaud,UWI today,September,29,2013,English,https://www.dloc.com/UF00094180/00055/pdf,https://www.dloc.com/UF00094180/00055/pdf,pdf,dLOC,,
lhonychurch,Lennox Honychurch,The Caribbean People : Book One,,,1979,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/63/00001/PR9205-8-H661979_dj1.jpg,https://www.dloc.com/AA00030463/00001/images,image,dLOC,,
lhonychurch,Lennox Honychurch,"Star (Roseau, Dominica)",April,11,1975,,https://ufdcimages.uflib.ufl.edu/UF/00/07/24/76/00853/UF00072476_VID00853_001.jpg,https://www.dloc.com/UF00072476/00853/images,image,dLOC,,
lhonychurch,Lennox Honychurch,"Star (Roseau, Dominica)",October,14,1977,,https://ufdcimages.uflib.ufl.edu/UF/00/07/24/76/00572/STAR0215.jpg,https://www.dloc.com/UF00072476/00572/images,image,dLOC,,
lhonychurch,Lennox Honychurch,Caribbean beat,November,,2011,,https://www.dloc.com/AA00090268/00002/pdf,https://www.dloc.com/AA00090268/00002/pdf,pdf,dLOC,,
lhonychurch,Lennox Honychurch,"Pre-Columbian Regional Community Integration in Dominica, West Indies",,,2014,,https://www.dloc.com/UFE0046963/00001/pdf,https://www.dloc.com/UFE0046963/00001/pdf,pdf,dLOC,,
lpfuentes,Leonardo Padura Fuentes,"La Bifurcacion De La Ciudad Neobarroca Hispano Caribena: La Habana, San Juan Y Santo Domingo Como Espacios Carnavalescos Y Contranarrativos En Seis Novelas Del Caribe Hispano",,,2017,,https://www.dloc.com/AA00054324/00069/pdf,https://www.dloc.com/AA00054324/00069/pdf,pdf,dLOC,,
lpfuentes,Leonardo Padura Fuentes,Vanguardia,September,19,2015,,https://www.dloc.com/AA00054324/00069/pdf,https://www.dloc.com/AA00054324/00069/pdf,pdf,dLOC,,
lpfuentes,Leonardo Padura Fuentes,OnCuba travel,August,,2018,,https://www.dloc.com/AA00069209/00004/pdf,https://www.dloc.com/AA00069209/00004/pdf,pdf,dLOC,,
lpfuentes,Leonardo Padura Fuentes,Vanguardia,September,26,2015,,https://www.dloc.com/AA00054324/00070/pdf,https://www.dloc.com/AA00054324/00070/pdf,pdf,dLOC,,
lpfuentes,Leonardo Padura Fuentes,Kesher,June,1,2014,,https://ufdcimages.uflib.ufl.edu/AA/00/06/56/79/00158/00001.jpg,https://www.dloc.com/AA00065679/00158/images,images,dLOC,,
lfmanigat,Leslie Francois Manigat,The More things change : human rights in Haiti,February,,1989,,https://ufdcimages.uflib.ufl.edu/AA/00/00/08/67/00001/00001.jpg,https://www.dloc.com/AA00000867/00001/images,images,dLOC,,
lfmanigat,Leslie Francois Manigat,Report on the situation regarding human rights in Haiti,September,7,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/00/10/63/00003/00001.jpg,https://www.dloc.com/AA00001063/00003/images,images,dLOC,,
lfmanigat,Leslie Francois Manigat,"Report on the situation of human rights in Haiti / vi, 210 p. ; 28 cm., Organization of American States",September,7,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/00/10/60/00001/00001.jpg,https://www.dloc.com/AA00001060/00001/images,images,dLOC,,
lfmanigat,Leslie Francois Manigat,Mesaj Leslie Manigat,February,7,1989,,https://ufdcimages.uflib.ufl.edu/AA/00/07/46/49/00001/RL10059-CS-1945_01.mp3,https://www.dloc.com/AA00074649/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,Leslie Manigat,February,7,1990,,https://ufdcimages.uflib.ufl.edu/AA/00/07/29/82/00001/RL10059-CS-1034_01.mp3,https://www.dloc.com/AA00072982/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,"Leslie Manigat, deux ans après son retour",April,26,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/07/26/06/00001/RL10059-CS-0812_01.mp3,https://www.dloc.com/AA00072606/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,"Conference de presse, President Leslie Manigat",April,21,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/07/51/39/00001/RL10059-RR-0454_01.mp3,https://www.dloc.com/AA00075139/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,Ceremonie d'investiture de Leslie Manigat (3),February,7,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/07/28/15/00001/RL10059-CS-0932_01.mp3,https://www.dloc.com/AA00072815/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,Zafè Manigat,August,1,1990,,https://ufdcimages.uflib.ufl.edu/AA/00/07/53/79/00001/RL10059-RR-0694_01.mp3,https://www.dloc.com/AA00075379/00001/audios,audio,dLOC,,
lfmanigat,Leslie Francois Manigat,"Ti koze anba tonèl, konferans pou laprès prezidan Leslie Manigat",June,16,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/07/52/71/00001/RL10059-RR-0585_01.mp3,https://www.dloc.com/AA00075271/00001/audios,audio,dLOC,,
ldaisley,Liesel Daisley,The Barbados advocate,December,31,2015,,https://www.dloc.com/UF00098964/03887/pdf,https://www.dloc.com/UF00098964/03887/pdf,pdf,dLOC,,
ldaisley,Liesel Daisley,The Barbados advocate,December,7,2015,,https://www.dloc.com/UF00098964/03864/pdf,https://www.dloc.com/UF00098964/03864/pdf,pdf,dLOC,,
lbarrett,Lindsay Barrett,Song for Mumu : a novel,,,1967,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/38/00001/PR9265-9-B37S66_dj.jpg,https://www.dloc.com/AA00030538/00001/images,image,dLOC,,
lbarrett,Lindsay Barrett,The State of black desire,,,1966,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/39/00001/PR9265-9-B37S7_dj.jpg,https://www.dloc.com/AA00030539/00001/images,image,dLOC,,
lbarrett,Lindsay Barrett,Caribbean Quarterly,December,,1967,,https://www.dloc.com/UF00099208/00142/images,https://www.dloc.com/UF00099208/00142/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
laagostini,Lisa Allen-Agostini,Caribbean beat,November,,2019,English,https://www.dloc.com/AA00090268/00050/pdf,https://www.dloc.com/AA00090268/00050/pdf,pdf,dLOC,,
lgoodison,Lorna Goodison,Caribe 2000,,,1998,,https://ufdcimages.uflib.ufl.edu/UF/00/10/21/25/00001/00001_00001.jpg,https://www.dloc.com/UF00102125/00001/images,image,dLOC,,
lgoodison,Lorna Goodison,The CARIFESTA organisation,July,23,1976,,https://ufdcimages.uflib.ufl.edu/CA/00/10/00/73/00001/00001.jpg,https://www.dloc.com/CA00100073/00001/images,image,dLOC,,
lgoodison,Lorna Goodison,Horizons : 26th West Indian Literature Conference,March,8,2007,,https://ufdcimages.uflib.ufl.edu/CA/00/29/90/29/00001/00003.jpg,https://www.dloc.com/CA00299029/00001/images,image,dLOC,,
lgoodison,Lorna Goodison,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2001,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00022/00001.jpg,https://www.dloc.com/UF00096005/00022/images,image,dLOC,,
lgoodison,Lorna Goodison,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1998,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00029/00001_00001.jpg,https://www.dloc.com/UF00096005/00029/images,image,dLOC,,
lgoodison,Lorna Goodison,Oranges and Mangoes and the 2014 OCM Bocas Prize,May,18,2014,,https://www.dloc.com/AA00025661/00001/pdf,https://www.dloc.com/AA00025661/00001/pdf,pdf,dLOC,,
lgoodison,Lorna Goodison,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1997,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00008/00001.jpg,https://www.dloc.com/UF00096005/00008/images,image,dLOC,,
lgoodison,Lorna Goodison,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2006,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00019/00001.jpg,https://www.dloc.com/UF00096005/00019/images,image,dLOC,,
lgoodison,Lorna Goodison,Horizons : 26th West Indian Literature Conference,March,8,2010,,https://ufdcimages.uflib.ufl.edu/CA/00/29/90/29/00001/00003.jpg,https://www.dloc.com/CA00299029/00001/images,image,dLOC,,
lgoodison,Lorna Goodison,"Archived Web Content on July 9, 2021: Olive Senior's Gardening in the Tropics, by Hyacinth M. Simpson",July,9,2021,,https://www.dloc.com/AA00083022/00001/pdf,https://www.dloc.com/AA00083022/00001/pdf,pdf,dLOC,,
lpdalembert,Louis-Philippe Dalembert,"Entre Nous : « Le crayon du Bon Dieu n’a pas de gomme » , Louis Philippe Dalembert",December,22,1996,,https://ufdcimages.uflib.ufl.edu/AA/00/07/34/67/00001/RL10059-CS-1292_01.mp3,https://www.dloc.com/AA00073467/00001/audios,audio,dLOC,,
lpdalembert,Louis-Philippe Dalembert,Haïti en marche,January,14,2004,,https://ufdcimages.uflib.ufl.edu/UF/00/09/88/09/00245/UF00098809_00245_00001.jpg,https://www.dloc.com/UF00098809/00245/images,image,dLOC,,
lpdalembert,Louis-Philippe Dalembert,Haïti en marche,June,14,2017,,https://www.dloc.com/UF00098809/00770/pdf,https://www.dloc.com/UF00098809/00770/pdf,pdf,dLOC,,
lbennett,Louise Bennett,Louise Bennett at Carifesta,August,24,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/99/78/00001/00432.jpg,https://www.dloc.com/CA00199978/00001/images,image,dLOC,,
lbennett,Louise Bennett,Louise Bennett due tonight,August,22,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/97/62/00001/00179.jpg,https://www.dloc.com/CA00199762/00001/images,image,dLOC,,
lbennett,Louise Bennett,Anthology of the poetry of the West Indies,,,1950,,https://ufdcimages.uflib.ufl.edu/CA/01/30/00/05/00001/00001.jpg,https://www.dloc.com/CA01300005/00001/images,image,dLOC,,
lbennett,Louise Bennett,The Creative Writer and West Indian society,,,1981,,https://www.dloc.com/AA00035010/00001/pdf,https://www.dloc.com/AA00035010/00001/pdf,pdf,dLOC,,
lbennett,Louise Bennett,CARIFESTA clearing house established,July,6,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/96/71/00001/00072.jpg,https://www.dloc.com/CA00199671/00001/images,image,dLOC,,
lbennett,Louise Bennett,Now a cultural federation,September,10,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/99/60/00001/00413.jpg,https://www.dloc.com/CA00199960/00001/images,image,dLOC,,
lbennett,Louise Bennett,"Petticoat page: Gosh Miss Lou, we love you!",August,27,1972,,https://ufdcimages.uflib.ufl.edu/CA/00/19/98/45/00001/00271.jpg,https://www.dloc.com/CA00199845/00001/images,image,dLOC,,
lbennett,Louise Bennett,Tapia,,,1969,,https://ufdcimages.uflib.ufl.edu/UF/00/07/21/47/00042/00001.jpg,https://www.dloc.com/UF00072147/00042/images,image,dLOC,,
laguero,Luis Aguero,"Fidel Castro;
psiquiatria y politica",,,1968,,https://ufdcimages.uflib.ufl.edu/AA/00/09/07/68/00001/00001.jpg,https://www.dloc.com/AA00090768/00001/images,image,dLOC,,
lpdezambrana,Luisa Pérez de Zambrana,Noches literarias en casa,,,1866,Spanish,https://www.dloc.com/AA00065141/00001/pdf,https://www.dloc.com/AA00065141/00001/pdf,image,dLOC,,
mmontano,Machel Montano,UWI today,March,13,2016,,https://www.dloc.com/UF00094180/00081/pdf,https://www.dloc.com/UF00094180/00081/pdf,pdf,dLOC,,
mmontano,Machel Montano,Guns Don't Globalize... Lazers Do,,,2018,,https://www.dloc.com/UFE0052325/00001/pdf,https://www.dloc.com/UFE0052325/00001/pdf,pdf,dLOC,,
mmontano,Machel Montano,Caribbean beat,January,,2018,,https://www.dloc.com/AA00090268/00039/pdf,https://www.dloc.com/AA00090268/00039/pdf,pdf,dLOC,,
mmontano,Machel Montano,UWI today,August,14,2022,,https://www.dloc.com/UF00094180/00130/pdf,https://www.dloc.com/UF00094180/00130/pdf,pdf,dLOC,,
mmontano,Machel Montano,Caribbean beat,January,,2012,,https://www.dloc.com/AA00090268/00003/pdf,https://www.dloc.com/AA00090268/00003/pdf,pdf,dLOC,,
mdas,Mahadai Das,Kyk-over-Al,December,,1987,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00025/00001.jpg,https://www.dloc.com/UF00080046/00025/images,image,dLOC,,
mdas,Mahadai Das,Kyk-over-Al,December,,1989,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00028/00001.jpg,https://www.dloc.com/UF00080046/00028/images,image,dLOC,,
mdas,Mahadai Das,Guyana chronicle,Feburary,20,2005,,https://ufdcimages.uflib.ufl.edu/UF/00/08/89/15/00006/88915_00006_00001.jpg,https://www.dloc.com/UF00088915/00006/images,image,dLOC,,
mzolivella,Manuel Zapata Olivella,"Afro-Cuban religious experience
cultural reflections in narrative",,,2017,,https://www.dloc.com/AA00061989/00001/pdf,https://www.dloc.com/AA00061989/00001/pdf,pdf,dLOC,,
mzolivella,Manuel Zapata Olivella,Literatura colombiana,August,25,1969,,https://ufdcimages.uflib.ufl.edu/UF/00/07/85/03/00001/00001.jpg,https://www.dloc.com/UF00078503/00001/images,image,dLOC,,
mbreton,Marcela Breton,"Caribbean creolization
reflections on the cultural dynamics of language, literature, and identity",,,2017,English,https://www.dloc.com/AA00061374/00001/pdf,https://www.dloc.com/AA00061374/00001/pdf,pdf,dLOC,,
mnugent,Maria Nugent,Lady Nugent's journal,,,1907,,https://ufdcimages.uflib.ufl.edu/AA/00/05/28/52/00001/image.jpg,https://www.dloc.com/AA00052852/00001/images,image,dLOC,,
mbrull,Mariano Brull,Antologia del soneto,,,1942,Spanish,https://ufdcimages.uflib.ufl.edu/AA/00/08/98/38/00001/00714.jpg,https://www.dloc.com/AA00089838/00001/images,image,dLOC,,
mbrull,Mariano Brull,"Exposicion de arte cubano contemporaneo
Salon de Pasos Perdidos, Capitolio nacional",,,1941,Spanish,https://ufdcimages.uflib.ufl.edu/AA/00/08/79/96/00001/00001.jpg,https://www.dloc.com/AA00087996/00001/images,image,dLOC,,
mbrull,Mariano Brull,Boletín oficial de la Secretaría de Estado,,,1926,Spanish,https://ufdcimages.uflib.ufl.edu/AA/00/03/78/72/00138/00001.jpg,https://www.dloc.com/AA00037872/00138/images,image,dLOC,,
mbrull,Mariano Brull,Diario de sesiones del Congreso de la República de Cuba,,,1917,Spanish,https://ufdcimages.uflib.ufl.edu/UF/00/07/26/99/00412/00001.jpg,https://www.dloc.com/UF00072699/00412/images,image,dLOC,,
mcagnant,Marie Célie Agnant,Silence Brisé,June,17,2017,,https://www.youtube.com/watch?v=TlVKKsf577w,https://www.dloc.com/AA00079182/00001/,video,"dLOC, YouTube",,DLOC error : There are no files available for download
mvchauvet,Marie Vieux Chauvet,Amour Colère et Folie: Claire Clamont,July,24,2016,,https://youtu.be/AeJ9nfTrH-s,https://www.dloc.com/AA00079184/00001/downloads,video,"dLOC, YouTube",,DLOC error : There are no files available for download
mvchauvet,Marie Vieux Chauvet,Haïti en marche,August,26,2015,,https://www.dloc.com/UF00098809/00677/pdf,https://www.dloc.com/UF00098809/00677/pdf,pdf,dLOC,,
mbethel,Marion Bethel,Horizons : 26th West Indian Literature Conference,March,8,2007,English,https://ufdcimages.uflib.ufl.edu/CA/00/29/90/29/00001/00003.jpg,https://www.dloc.com/CA00299029/00001/images,image,dLOC,,
mocallaghan,Marion O'Callaghan,Tapia,November,2,1975,English,https://ufdcimages.uflib.ufl.edu/UF/00/07/21/47/00186/00001.jpg,https://www.dloc.com/UF00072147/00186/images,image,dLOC,,
mmcwatt,Mark McWatt,Horizons : 26th West Indian Literature Conference,March,8,2007,English,https://ufdcimages.uflib.ufl.edu/CA/00/29/90/29/00001/00003.jpg,https://www.dloc.com/CA00299029/00001/images,image,dLOC,,
mmcwatt,Mark McWatt,Latinamericanist,December,,1987,,https://ufdcimages.uflib.ufl.edu/UF/00/06/64/64/00131/00001.jpg,https://www.dloc.com/UF00066464/00131/images,image,dLOC,,
mmcwatt,Mark McWatt,Kyk-over-Al,December,,1987,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00025/00001.jpg,https://www.dloc.com/UF00080046/00025/images,image,dLOC,,
mjames,Marlon James,35th Annual West Indian Literature Conference : Archiving Caribbean Literature & Popular Culture (Conference Program),October,6,2016,,https://www.dloc.com/AA00048586/00001/pdf,https://www.dloc.com/AA00048586/00001/pdf,pdf,dLOC,,
mjames,Marlon James,Caribbean beat,November,,2014,,https://www.dloc.com/AA00090268/00020/pdf,https://www.dloc.com/AA00090268/00020/pdf,pdf,dLOC,,
mprince,Mary Prince,"The history of Mary Prince, a West Indian slave, related by herself",,,,English,https://docsouth.unc.edu/neh/prince/menu.html,https://www.dloc.com/AA00015607/00001/,website,dLOC,,Should the date of 1831 be used here as for the source material itself or the date of the website being created? I think the latter makes more sense for timeline building and what not
mconde,Maryse Condé,Inter-Actualites Magazine: Maryse Conde (2),June,12,1987,,https://ufdcimages.uflib.ufl.edu/AA/00/07/27/28/00001/RL10059-CS-0883_02.mp3,https://www.dloc.com/AA00072728/00001/audios,audio,dLOC,,
mconde,Maryse Condé,Entre Nous : Livre « La traversee de la mangrove » de Maryse Conde (2),May,27,1990,,https://ufdcimages.uflib.ufl.edu/AA/00/07/34/00/00001/RL10059-CS-1258_02.mp3,https://www.dloc.com/AA00073400/00001/audios,audio,dLOC,,
mconde,Maryse Condé,Entre Nous: Livre « La traversee de la mangrove » de Maryse Conde (1),May,27,1990,,https://ufdcimages.uflib.ufl.edu/AA/00/07/33/99/00001/RL10059-CS-1258_01.mp3,https://www.dloc.com/AA00073399/00001/audios,audio,dLOC,,
mconde,Maryse Condé,"Entre Nous : « Celanire cou-coupe » , Maryse Conde (1)",January,7,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/07/36/64/00001/RL10059-CS-1392_01.mp3,https://www.dloc.com/AA00073664/00001/audios,audio,dLOC,,
mconde,Maryse Condé,"Entre Nous : « Celanire cou-coupe » , Maryse Conde",January,7,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/07/36/65/00001/RL10059-CS-1392_02.mp3,https://www.dloc.com/AA00073665/00001/audios,audio,dLOC,,
mjchapman,Matthew James Chapman,A report on the holdings of the University of Florida Libraries relating to the English-speaking countries of the Caribbean,,,1982,English,https://ufdcimages.uflib.ufl.edu/AA/00/06/23/39/00001/00001.jpg,https://www.dloc.com/AA00062339/00001/images,image,,,
mheurtelou,Maude Heurtelou,Lafami Bonplezi,,,1994,,https://ufdcimages.uflib.ufl.edu/AA/00/02/58/54/00001/lafami%20bonplezi%20cover%20new.jpg,https://www.dloc.com/AA00025854/00001/images,image,dLOC,,
mheurtelou,Maude Heurtelou,Fòm kare,,,2012,,https://ufdcimages.uflib.ufl.edu/AA/00/02/74/51/00014/00001.jpg,https://www.dloc.com/AA00027451/00014/images,image,dLOC,,
mheurtelou,Maude Heurtelou,Kòn ak Kònè,,,2012,,https://ufdcimages.uflib.ufl.edu/AA/00/02/74/51/00017/00001.jpg,https://www.dloc.com/AA00027451/00017/images,image,dLOC,,
mwlewis,Maureen Warner-Lewis,Caribbean Quarterly,March,,1998,,https://www.dloc.com/UF00099208/00062/images,https://www.dloc.com/UF00099208/00062/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
mwlewis,Maureen Warner-Lewis,Caribbean Quarterly,September,,1993,,https://www.dloc.com/UF00099208/00050/images,https://www.dloc.com/UF00099208/00050/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
mwlewis,Maureen Warner-Lewis,Maureen Warner-Lewis Lecture: The Kongo Impact on Caribbean Culture (Part 1),,,2016,,https://www.dloc.com/AA00056853/00001/downloads,https://www.dloc.com/AA00056853/00001/downloads,txt,dLOC,,Resource is an txt file that cannot be viewed but downloaded
mwlewis,Maureen Warner-Lewis,Maureen Warner-Lewis Lecture: The Kongo Impact on Caribbean Culture (Part 2),,,2016,,https://www.dloc.com/AA00056855/00001/downloads,https://www.dloc.com/AA00056855/00001/downloads,txt,dLOC,,
mjin,Meiling Jin,"Digital Library of the Caribbean (dLOC): Partners, Platforms, & Practices for Studies of the Caribbean in the Digital Age",September,26,2019,,https://www.dloc.com/AA00068846/00003/pdf,https://www.dloc.com/AA00068846/00003/pdf,pdf,dLOC,,
mjin,Meiling Jin,Digital Library of the Caribbean (dLOC): Resources and Platform for African American Studies,,,2019,,https://www.dloc.com/AA00069130/00001/pdf,https://www.dloc.com/AA00069130/00001/pdf,pdf,dLOC,,
mjin,Meiling Jin,Caribbean Compass,Feburary,,2013,,https://www.dloc.com/UF00095627/00072/pdf,https://www.dloc.com/UF00095627/00072/pdf,pdf,dLOC,,
mcollins,Merle Collins,Woman version,,,1993,,https://ufdcimages.uflib.ufl.edu/AA/00/05/28/65/00001/00001.jpg,https://www.dloc.com/AA00052865/00001/images,image,dLOC,,
mcollins,Merle Collins,"Caribbean creolization
reflections on the cultural dynamics of language, literature, and identity",,,2017,,https://www.dloc.com/AA00061374/00001/pdf,https://www.dloc.com/AA00061374/00001/pdf,pdf,dLOC,,
mcollins,Merle Collins,"Companion Programme, Biographies and Abstracts: 35th Annual West Indian Literature Conference (WILC): Archiving Caribbean Literature & Popular Culture",October,6,2016,,https://www.dloc.com/AA00048586/00002/pdf,https://www.dloc.com/AA00048586/00002/pdf,pdf,dLOC,,
mcollins,Merle Collins,Caribbean Quarterly,June,,1995,,https://www.dloc.com/UF00099208/00055/images,https://www.dloc.com/UF00099208/00055/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
