authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
asalkey,Andrew Salkey,West Indian stories,,,1960,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/90/00001/PR9217-5-W471960_dj.jpg,https://www.dloc.com/AA00030490/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Stories from the Caribbean : an anthology,,,1965,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/78/00001/PR9215-S31965_dj.jpg,https://www.dloc.com/AA00030478/00001/images,image,dLOC,,
asalkey,Andrew Salkey,The adventures of Catullus Kelly,,,1969,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/75/00001/PR9265-9-S2A651969_dj.jpg,https://www.dloc.com/AA00030575/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Danny Jones,,,1980,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/77/00001/PR9265-9-S2D361980_dj.jpg,https://www.dloc.com/AA00030577/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Anancy's score,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/76/00001/PR9265-9-S2A71973_dj.jpg,https://www.dloc.com/AA00030576/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Escape to an autumn pavement,,,1960,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/80/00001/PR9265-9-S2E831960_dj.jpg,https://www.dloc.com/AA00030580/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Caribbean prose : An Anthology for Secondary Schools,,,1967,English,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/42/00001/PE1121-C371967_dj.jpg,https://www.dloc.com/AA00030342/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Caribbean essays : an anthology,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/74/00001/PR9215-C291973_dj.jpg,https://www.dloc.com/AA00030474/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Riot,,,1967,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/88/00001/PR9265-9-S2R561967_dj.jpg,https://www.dloc.com/AA00030588/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Island voices : stories from the West Indies,,,1970,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/83/00001/PR9265-9-S2I851970_dj.jpg,https://www.dloc.com/AA00030583/00001/images,image,dLOC,,
asalkey,Andrew Salkey,The late emancipation of Jerry Stover,,,1968,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/86/00001/PR9265-9-S2L391968_dj.jpg,https://www.dloc.com/AA00030586/00001/images,image,dLOC,,
asalkey,Andrew Salkey,A quality of violence,,,1959,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/87/00001/PR9265-9-S2Q831959_dj.jpg,https://www.dloc.com/AA00030587/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Breaklight : an anthology of Caribbean poetry,,,1971,,https://ufdcimages.uflib.ufl.edu/AA/00/03/06/96/00001/PR9326-S31971_dj.jpg,https://www.dloc.com/AA00030696/00001/images,image,dLOC,,
asalkey,Andrew Salkey,"Writing in Cuba since the Revolution : an anthology of poems, short stories, and essays",,,1977,,https://ufdcimages.uflib.ufl.edu/AA/00/03/03/75/00001/PQ7383-5-E5W7_dj.jpg,https://www.dloc.com/AA00030375/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Jonah Simpson,,,1969,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/85/00001/PR9265-9-S2J661969_dj.jpg,https://www.dloc.com/AA00030585/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Hurricane,,,1964,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/81/00001/PR9265-9-S2H871964_dj.jpg,https://www.dloc.com/AA00030581/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Earthquake,,,1965,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/79/00001/PR9265-9-S2E271965_dj.jpg,https://www.dloc.com/AA00030579/00001/images,image,dLOC,,
asalkey,Andrew Salkey,Drought,,,1966,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/78/00001/PR9265-9-S2D761966_dj.jpg,https://www.dloc.com/AA00030578/00001/images,image,dLOC,,
acwinkler,Anthony C. Winkler,Jamaica journal,,,2015,,https://ufdcimages.uflib.ufl.edu/UF/00/09/00/30/00091/00001.jpg,https://www.dloc.com/UF00090030/00091/images,image,dLOC,,
acwinkler,Anthony C. Winkler,Caribbean review of books,August,,1992,,https://ufdcimages.uflib.ufl.edu/UF/00/09/40/97/00005/00001.jpg,https://www.dloc.com/UF00094097/00005/images,image,dLOC,,
acwinkler,Anthony C. Winkler,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2006,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00019/00001.jpg,https://www.dloc.com/UF00096005/00019/images,image,dLOC,,
acwinkler,Anthony C. Winkler,Caribbean Compass,October,,2016,,https://www.dloc.com/UF00095627/00116/pdf,https://www.dloc.com/UF00095627/00116/pdf,pdf,dLOC,,
